From Type,From Name,Edge Type,To Type,To Name,id
ingredient,Collard Greens,ingredient dish,dish,Feijoada
ingredient,Ginger,ingredient dish,dish,Biryani
ingredient,Chicken/Meat/Vegetables,ingredient dish,dish,Biryani
ingredient,Lemongrass,ingredient dish,dish,Tom Yum Soup
ingredient,Salt,ingredient dish,dish,Sauerbraten
ingredient,Rice,ingredient dish,dish,Biryani
ingredient,Cornstarch,ingredient dish,dish,Pavlova
ingredient,Garlic,ingredient dish,dish,Pad Thai
ingredient,Bouquet Garni,ingredient dish,dish,Coq Au Vin
ingredient,Onions,ingredient dish,dish,Curry
ingredient,Onions,ingredient dish,dish,Ceviche
ingredient,Tablespoons Of Achiote Paste,ingredient dish,dish,Tacos Al Pastor
ingredient,Black Beans,ingredient dish,dish,Feijoada
ingredient,Coriander,ingredient dish,dish,Butter Chicken
ingredient,Coriander,ingredient dish,dish,Momos
ingredient,Soy Sauce,ingredient dish,dish,Bibimbap
ingredient,Coriander Powder,ingredient dish,dish,Butter Chicken
ingredient,Onions,ingredient dish,dish,Tacos
ingredient,Shredded Cheese,ingredient dish,dish,Tacos
ingredient,Tamarind Paste,ingredient dish,dish,Pad Thai
ingredient,Yeast,ingredient dish,dish,Margherita Pizza
ingredient,Tomato,ingredient dish,dish,Moussaka
ingredient,Coriander,ingredient dish,dish,Biryani
ingredient,Onion,ingredient dish,dish,Lasagna
ingredient,Ground Meat,ingredient dish,dish,Chiles Rellenos
ingredient,Yogurt,ingredient dish,dish,Chicken Biryani
ingredient,Crispy Fried Onions,ingredient dish,dish,Biryani
ingredient,Tomato Paste,ingredient dish,dish,Borscht
ingredient,Green Chili Peppers,ingredient dish,dish,Biryani
ingredient,Onions,ingredient dish,dish,Coq Au Vin
ingredient,Fish,ingredient dish,dish,Ceviche
dish,Tagine,dish owned,country,Morocco
ingredient,Fish Sauce,ingredient dish,dish,Nasi Goreng
ingredient,Raw Fish Or Seafood,ingredient dish,dish,Ceviche
ingredient,Chicken Broth,ingredient dish,dish,Coq Au Vin
ingredient,Onions,ingredient dish,dish,Borscht
ingredient,Olive Oil,ingredient dish,dish,Lasagna
ingredient,Tablespoons Of Tomato Paste,ingredient dish,dish,Coq Au Vin
ingredient,Shrimp,ingredient dish,dish,Nasi Goreng
ingredient,Yeast,ingredient dish,dish,Pizza
ingredient,Rice,ingredient dish,dish,Jollof Rice
ingredient,Pineapple,ingredient dish,dish,Tacos Al Pastor
ingredient,Rice Noodles,ingredient dish,dish,Pad Thai
ingredient,Vegetable Broth,ingredient dish,dish,Tagine
ingredient,Ghee,ingredient dish,dish,Biryani
ingredient,Garlic,ingredient dish,dish,Tagine
ingredient,Onions,ingredient dish,dish,Tabbouleh
ingredient,Ground Beef,ingredient dish,dish,Moussaka
ingredient,Chopped Cilantro,ingredient dish,dish,Tacos Al Pastor
ingredient,Chili Peppers,ingredient dish,dish,Ceviche
ingredient,Cucumber,ingredient dish,dish,Gado-Gado
ingredient,Cilantro,ingredient dish,dish,Butter Chicken
ingredient,Mint Leaves,ingredient dish,dish,Chicken Biryani
ingredient,Heavy Cream,ingredient dish,dish,Butter Chicken
ingredient,Stock Cube,ingredient dish,dish,Jollof Rice
ingredient,Flour,ingredient dish,dish,Coq Au Vin
ingredient,Coriander Powder,ingredient dish,dish,Chicken Tikka Masala
ingredient,Fish,ingredient dish,dish,Sushi
ingredient,Ground Beef Or Chicken,ingredient dish,dish,Tacos
ingredient,Pepper,ingredient dish,dish,Ceviche
ingredient,Turmeric,ingredient dish,dish,Tagine
ingredient,Shallots,ingredient dish,dish,Pad Thai
ingredient,Chicken,ingredient dish,dish,Enchiladas
ingredient,Garlic,ingredient dish,dish,Ceviche
ingredient,Chopped Onion,ingredient dish,dish,Tacos Al Pastor
ingredient,Ginger,ingredient dish,dish,Butter Chicken
ingredient,Tomato Sauce,ingredient dish,dish,Moussaka
ingredient,Oil,ingredient dish,dish,Koshari
